Weekly New Jersey No. 2 Heating Oil Residential Price
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=W_EPD2F_PRS_SNJ_DPG&f=W
23:30:33 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Week of,Weekly New Jersey No. 2 Heating Oil Residential Price Dollars per Gallon
03/13/2006,2.503
03/6/2006,2.519
02/27/2006,2.479
02/20/2006,2.457
02/13/2006,2.491
02/6/2006,2.525
01/30/2006,2.541
01/23/2006,2.551
01/16/2006,2.512
01/9/2006,2.504
01/2/2006,2.484
12/26/2005,2.505
12/19/2005,2.511
12/12/2005,2.467
12/5/2005,2.448
11/28/2005,2.464
11/21/2005,2.472
11/14/2005,2.507
11/7/2005,2.557
10/31/2005,2.615
10/24/2005,2.655
10/17/2005,2.691
10/10/2005,2.685
10/3/2005,2.745
03/14/2005,2.217
03/7/2005,2.172
02/28/2005,2.115
02/21/2005,2.06
02/14/2005,2.056
02/7/2005,2.068
01/31/2005,2.097
01/24/2005,2.059
01/17/2005,2.024
01/10/2005,1.998
01/3/2005,2.016
12/27/2004,2.052
12/20/2004,2.062
12/13/2004,1.995
12/6/2004,2.023
11/29/2004,2.096
11/22/2004,2.091
11/15/2004,2.068
11/8/2004,2.086
11/1/2004,2.132
10/25/2004,2.123
10/18/2004,2.063
10/11/2004,1.969
10/4/2004,1.899
03/15/2004,1.671
03/8/2004,1.691
03/1/2004,1.697
02/23/2004,1.721
02/16/2004,1.717
02/9/2004,1.736
02/2/2004,1.743
01/26/2004,1.737
01/19/2004,1.706
01/12/2004,1.667
01/5/2004,1.594
12/29/2003,1.594
12/22/2003,1.587
12/15/2003,1.548
12/8/2003,1.514
12/1/2003,1.493
11/24/2003,1.496
11/17/2003,1.48
11/10/2003,1.464
11/3/2003,1.459
10/27/2003,1.458
10/20/2003,1.453
10/13/2003,1.457
10/6/2003,1.414
03/17/2003,1.894
03/10/2003,1.961
03/3/2003,1.915
02/24/2003,1.848
02/17/2003,1.82
02/10/2003,1.808
02/3/2003,1.613
01/27/2003,1.583
01/20/2003,1.534
01/13/2003,1.512
01/6/2003,1.512
12/30/2002,1.475
12/23/2002,1.451
12/16/2002,1.397
12/9/2002,1.374
12/2/2002,1.341
11/25/2002,1.341
11/18/2002,1.326
11/11/2002,1.328
11/4/2002,1.333
10/28/2002,1.322
10/21/2002,1.315
10/14/2002,1.305
10/7/2002,1.298
03/18/2002,1.216
03/11/2002,1.201
03/4/2002,1.19
02/25/2002,1.191
02/18/2002,1.194
02/11/2002,1.198
02/4/2002,1.197
01/28/2002,1.197
01/21/2002,1.193
01/14/2002,1.185
01/7/2002,1.166
12/31/2001,1.151
12/24/2001,1.152
12/17/2001,1.134
12/10/2001,1.144
12/3/2001,1.152
11/26/2001,1.155
11/19/2001,1.176
11/12/2001,1.21
11/5/2001,1.219
10/29/2001,1.239
10/22/2001,1.238
10/15/2001,1.256
10/8/2001,1.267
10/1/2001,1.273
03/19/2001,1.427
03/12/2001,1.438
03/5/2001,1.45
02/26/2001,1.459
02/19/2001,1.481
02/12/2001,1.516
02/5/2001,1.525
01/29/2001,1.55
01/22/2001,1.561
01/15/2001,1.561
01/8/2001,1.561
01/1/2001,1.588
12/25/2000,1.563
12/18/2000,1.572
12/11/2000,1.59
12/4/2000,1.579
11/27/2000,1.586
11/20/2000,1.573
11/13/2000,1.527
11/6/2000,1.508
10/30/2000,1.513
10/23/2000,1.522
10/16/2000,1.541
10/9/2000,1.463
10/2/2000,1.455
03/20/2000,1.354
03/13/2000,1.399
03/6/2000,1.422
02/28/2000,1.431
02/21/2000,1.463
02/14/2000,1.635
02/7/2000,2.013
01/31/2000,1.77
01/24/2000,1.716
01/17/2000,1.21
01/3/2000,1.148
12/20/1999,1.12
12/6/1999,1.106
11/15/1999,1.048
11/1/1999,1.008
10/18/1999,1.001
10/4/1999,0.997
03/15/1999,0.877
03/1/1999,0.872
02/15/1999,0.871
02/1/1999,0.876
01/18/1999,0.877
01/4/1999,0.871
12/21/1998,0.864
12/7/1998,0.864
11/16/1998,0.873
11/2/1998,0.873
10/19/1998,0.87
10/5/1998,0.868
03/16/1998,0.955
03/2/1998,0.967
02/16/1998,0.977
02/2/1998,0.983
01/19/1998,0.986
01/5/1998,0.994
12/15/1997,0.991
12/1/1997,0.99
11/17/1997,0.987
11/3/1997,0.988
10/20/1997,0.976
10/6/1997,0.976
03/17/1997,1.108
03/3/1997,1.13
02/17/1997,1.167
02/3/1997,1.173
01/27/1997,1.178
01/20/1997,1.181
01/13/1997,1.182
01/6/1997,1.18
12/30/1996,1.176
12/23/1996,1.179
12/16/1996,1.167
12/9/1996,1.177
12/2/1996,1.158
11/25/1996,1.166
11/18/1996,1.163
11/11/1996,1.143
11/4/1996,1.143
10/28/1996,1.156
10/21/1996,1.154
10/7/1996,1.125
03/18/1996,1.094
03/4/1996,1.098
02/19/1996,1.084
02/5/1996,1.057
01/15/1996,1.061
01/1/1996,1.023
12/18/1995,0.984
12/4/1995,0.951
11/20/1995,0.934
11/6/1995,0.927
10/16/1995,0.919
10/2/1995,0.921
03/20/1995,0.951
03/6/1995,0.959
02/20/1995,0.958
02/6/1995,0.952
01/16/1995,0.947
01/2/1995,0.949
12/19/1994,0.941
12/5/1994,0.934
11/21/1994,0.933
11/7/1994,0.932
10/17/1994,0.928
10/3/1994,0.919
03/21/1994,1.041
03/7/1994,1.046
02/28/1994,1.055
02/21/1994,1.059
02/14/1994,1.055
02/7/1994,1.046
01/31/1994,1.021
01/17/1994,1.001
01/3/1994,0.976
12/20/1993,0.978
12/6/1993,0.986
11/15/1993,0.993
11/1/1993,0.998
10/18/1993,0.996
10/4/1993,0.981
03/15/1993,1.033
03/1/1993,1.032
