Weekly New York No. 2 Heating Oil Residential Price
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=W_EPD2F_PRS_SNY_DPG&f=W
09:24:36 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Week of,Weekly New York No. 2 Heating Oil Residential Price Dollars per Gallon
12/7/1992,1.07
11/16/1992,1.071
11/2/1992,1.069
10/19/1992,1.058
10/5/1992,1.033
03/16/1992,1.076
03/2/1992,1.081
02/17/1992,1.086
02/3/1992,1.088
01/20/1992,1.088
01/6/1992,1.091
12/16/1991,1.11
12/2/1991,1.118
11/18/1991,1.122
11/4/1991,1.099
10/21/1991,1.081
10/7/1991,1.044
03/18/1991,1.186
03/4/1991,1.237
02/18/1991,1.265
02/4/1991,1.294
01/21/1991,1.339
01/7/1991,1.32
12/17/1990,1.366
12/3/1990,1.366
11/19/1990,1.385
11/5/1990,1.392
10/15/1990,1.4
10/1/1990,1.342
